"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Europe & Central Asia (excluding high income)","ECA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253393","243882","235123","225963","215833","205023","193793","182375","171171","160382","150258","140976","132600","125206","118736","113094","108154","103871","99982","96438","93062","89851","86542","83020","79143","75036","70834","66709","62793","59158","",
"Europe & Central Asia","ECS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310094","297066","284887","272332","258907","245048","231093","217287","203988","191366","179730","169294","160044","151922","144788","138493","132857","127842","123199","118893","114751","110788","106758","102562","98068","93439","88801","84306","80027","76006","",
"Ecuador","ECU","Number of infant deaths","SH.DTH.IMRT","23296","23220","23158","23117","23091","23092","23123","23177","23225","23251","23212","23059","22773","22339","21769","21131","20491","19892","19310","18742","18170","17575","16956","16324","15706","15128","14583","14092","13626","13172","12722","12274","11807","11321","10814","10295","9767","9244","8723","8231","7775","7369","7008","6684","6406","6146","5902","5668","5444","5228","5024","4836","4668","4517","4393","4298","4223","4168","4115","4046","",
"Egypt, Arab Rep.","EGY","Number of infant deaths","SH.DTH.IMRT","253772","249229","244508","239888","235819","232501","230168","228809","227987","227707","227326","226642","225262","222796","218996","214391","209256","203807","198396","193142","188234","182948","176927","169896","161774","153011","144286","136170","128649","122010","115850","109952","104126","98391","92805","87432","82360","77655","73301","69371","65853","62702","59971","57669","55764","54342","53421","52948","52849","53059","53371","53542","53481","53037","52307","51204","49823","48098","46426","44628","",
"Euro area","EMU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28013","26496","24937","23320","21711","20226","18952","17911","17071","16387","15810","15297","14823","14376","13963","13577","13225","12898","12578","12255","11926","11599","11277","10987","10737","10536","10377","10246","10122","9982","",
"Eritrea","ERI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","8324","8367","8436","8525","8642","8778","8928","9076","9222","9344","9414","9424","9347","9172","8883","8487","7990","7415","6793","6179","5611","5126","4745","4476","4306","4229","4230","4288","4375","4470","4555","4610","4624","4592","4525","4422","4280","4125","3963","3810","3668","3532","3404","3288","3178","",
"Spain","ESP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","12438","11360","10301","9268","8276","7356","6536","5832","5234","4732","4315","3972","3685","3439","3218","3017","2825","2638","2453","2274","2109","1970","1862","1785","1737","1715","1717","1736","1763","1788","1801","1795","1767","1716","1646","1563","1473","1383","1301","1230","1172","1126","1088","1052","1016","",
"Estonia","EST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","384","376","370","365","361","355","347","334","318","299","278","254","229","205","182","162","145","131","119","110","102","95","90","85","80","75","70","65","60","54","49","45","41","37","34","32","29","27","25","",
"Ethiopia","ETH","Number of infant deaths","SH.DTH.IMRT","","","","","","","","176316","180861","185943","191396","196670","202035","207056","211892","216539","220806","225111","229426","233502","237298","240815","243692","246274","248550","250928","253443","256094","258624","261074","263142","264794","265960","266335","265638","264396","262585","259952","256598","252316","246969","240243","232462","223828","214741","205618","196955","188857","181417","174680","168669","163312","158100","153226","148762","144405","140081","136042","132427","129236","",
"European Union","EUU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51208","48113","45068","41960","38874","35975","33373","31098","29104","27357","25928","24855","24048","23356","22690","22007","21280","20533","19795","19084","18388","17712","17056","16436","15866","15379","14975","14632","14296","13942","",
"Fragile and conflict affected situations","FCS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1594673","1610547","1627386","1644370","1660509","1674112","1683952","1689802","1691600","1690084","1684263","1676857","1667447","1656538","1644642","1631974","1618958","1604187","1596189","1579022","1575891","1556691","1546366","1537173","1528989","1519777","1511061","1497792","1482667","1468023","",
"Finland","FIN","Number of infant deaths","SH.DTH.IMRT","1821","1703","1596","1495","1398","1305","1214","1125","1041","960","883","813","751","699","654","616","580","547","516","487","461","438","419","403","392","383","378","373","369","362","353","340","323","305","286","267","250","236","223","212","203","196","191","187","183","179","174","168","161","154","147","140","133","126","119","114","109","105","101","98","",
"Fiji","FJI","Number of infant deaths","SH.DTH.IMRT","1015","987","957","927","898","870","844","822","804","791","783","780","782","786","791","794","795","792","784","772","755","734","710","684","659","633","607","581","557","535","514","494","477","461","447","435","423","413","403","394","385","379","374","371","372","374","377","379","380","380","380","380","382","384","389","394","399","404","407","405","",
"France","FRA","Number of infant deaths","SH.DTH.IMRT","19640","18814","18066","17348","16639","15949","15289","14671","14086","13481","12803","12086","11405","10790","10216","9669","9146","8654","8202","7829","7551","7340","7154","6959","6761","6568","6376","6190","6001","5792","5545","5251","4912","4547","4202","3909","3682","3528","3436","3378","3329","3276","3205","3120","3035","2967","2920","2889","2870","2855","2838","2811","2770","2718","2671","2644","2641","2662","2701","2738","",
