"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"North Macedonia","MKD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","2007","1926","1831","1748","1693","1628","1496","1305","1145","1068","1026","942","800","664","570","508","458","413","376","349","330","317","306","294","278","259","238","217","204","203","213","233","256","264","242","199","155","119","",
"Mali","MLI","Number of infant deaths","SH.DTH.IMRT","","","","","53220","53056","52971","52917","52935","53003","53123","53218","53247","53206","53080","52850","52571","52260","51930","51584","51270","50882","50468","50015","49567","49133","48752","48474","48324","48292","48401","48665","49065","49570","50139","50726","51305","51834","52276","52596","52791","52932","53045","53115","53186","53242","53233","53132","52943","52671","52289","51813","51307","50757","50203","49682","49175","48685","48191","47779","",
"Malta","MLT","Number of infant deaths","SH.DTH.IMRT","278","255","236","218","201","184","168","154","142","132","125","119","115","112","109","106","102","98","94","90","85","81","77","74","71","68","65","62","60","57","55","52","50","47","45","42","39","37","34","32","30","28","26","25","24","23","23","23","23","23","23","24","24","24","25","25","26","26","26","26","",
"Myanmar","MMR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","125736","125343","124783","124124","123385","122507","121492","120401","119135","117993","116822","115518","114067","112367","110360","108122","105734","103051","100112","97155","94170","91249","88523","85999","83722","81742","79979","78464","77160","75965","74798","73549","72084","70362","68309","65966","63334","60505","57550","59033","51561","48829","46169","43837","41749","39976","38475","37128","35864","34666","33490","",
"Middle East & North Africa (excluding high income)","MNA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394092","376588","359569","342885","326719","311226","296658","283120","270486","258973","248682","239464","231475","224587","218679","213656","209557","206184","203374","201245","199872","198998","198277","196991","195125","192646","189179","185072","180960","176259","",
"Montenegro","MNE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","242","219","197","178","163","151","142","136","131","128","125","122","119","115","111","107","102","96","90","84","78","71","65","58","51","45","40","35","30","27","23","20","18","16","15","",
"Mongolia","MNG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","7124","7032","6963","6913","6862","6804","6700","6542","6321","6042","5717","5359","4985","4607","4241","3899","3581","3283","3005","2750","2519","2316","2144","2005","1898","1818","1765","1730","1708","1694","1676","1650","1609","1554","1486","1410","1327","1243","1162","1085","1015","",
"Northern Mariana Islands","MNP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Number of infant deaths","SH.DTH.IMRT","","","","","","66066","68073","70007","71740","73453","75141","76791","78395","80027","81606","83255","84942","86670","88550","90428","92224","93763","94819","95373","95300","94869","94276","93734","93518","93531","93884","94594","95359","95855","96149","95923","94957","93325","91179","88893","86467","83984","81530","79262","77208","75328","73548","70451","69254","67571","68175","65863","64655","64117","63732","63244","62665","61858","61374","60805","",
"Mauritania","MRT","Number of infant deaths","SH.DTH.IMRT","5275","5286","5289","5295","5296","5298","5297","5298","5306","5332","5390","5479","5588","5712","5822","5909","5967","5999","6012","6017","6023","6022","6018","5999","5965","5911","5847","5788","5743","5723","5729","5760","5816","5896","5999","6117","6250","6387","6527","6669","6807","6948","7086","7224","7341","7442","7521","7579","7634","7676","7719","7730","7733","7721","7709","7660","7624","7569","7508","7437","",
"Mauritius","MUS","Number of infant deaths","SH.DTH.IMRT","2007","1973","1903","1818","1749","1738","1816","1897","1824","1583","1377","1333","1384","1383","1264","1115","1008","938","880","820","750","666","587","531","502","495","503","513","505","475","442","420","412","415","423","432","435","427","405","370","334","304","281","264","252","242","232","221","209","198","190","187","186","183","177","171","169","171","177","183","",
"Malawi","MWI","Number of infant deaths","SH.DTH.IMRT","","","","","","","44470","45414","46334","47127","47847","48341","48592","48688","48639","48483","48246","47919","47416","46807","46516","46536","47247","48864","51368","54220","56843","58823","59821","59823","59061","57885","56455","54933","53481","52330","51632","51142","50381","49162","47299","44729","41791","38977","36583","34826","33835","33390","32360","31683","30773","28865","26911","25120","23450","22184","21142","20288","19665","19238","",
"Malaysia","MYS","Number of infant deaths","SH.DTH.IMRT","23021","22171","21271","20333","19384","18453","17594","16802","16135","15595","15152","14773","14411","14021","13604","13136","12657","12162","11682","11194","10732","10273","9823","9392","8985","8596","8231","7906","7620","7371","7141","6927","6720","6516","6330","6161","5970","5709","5360","4940","4482","4056","3725","3507","3371","3292","3256","3255","3278","3308","3328","3344","3368","3408","3465","3533","3613","3703","3798","3872","",
"North America","NAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39540","38525","37337","36048","34744","33498","32381","31445","30718","30181","29824","29637","29577","29584","29601","29558","29402","29096","28634","28039","27368","26670","26007","25413","24908","24499","24189","23947","23700","23418","",
"Namibia","NAM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","1981","2060","2147","2233","2322","2409","2492","2571","2642","2704","2758","2800","2827","2836","2832","2810","2776","2734","2695","2659","2630","2600","2577","2563","2552","2556","2571","2594","2606","2601","2576","2527","2469","2416","2382","2380","2369","2240","2178","2179","2236","2330","2305","2392","2505","2438","2332","2289","2252","2207","2172","2146","",
"New Caledonia","NCL","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","30534","31619","32763","33961","35148","36299","37349","38301","39125","39879","40615","41417","42419","43675","45211","46973","48847","50714","52458","53976","55263","56387","57318","58032","58476","58620","58477","58075","57684","57399","57291","57271","57234","57056","56606","55892","55038","54103","53178","52236","51402","50562","49810","49168","48759","48501","48442","48334","48380","48454","48606","48796","",
"Nigeria","NGA","Number of infant deaths","SH.DTH.IMRT","","","","","","415959","414952","414656","415097","415731","415918","416291","415933","415341","414494","413643","412817","412292","412715","414580","417742","422226","428490","436523","445795","456095","467022","478024","488685","498986","508554","517823","527060","536226","544845","552378","558246","562320","564579","564978","564150","562474","559909","556707","553029","548890","545244","542427","541171","541038","542350","544483","547607","550621","553912","556030","556955","555737","552152","548116","",
"Nicaragua","NIC","Number of infant deaths","SH.DTH.IMRT","11869","11914","11942","11970","12006","12035","12092","12170","12265","12370","12478","12569","12624","12636","12583","12447","12243","11981","11671","11331","10970","10598","10222","9850","9483","9133","8802","8483","8173","7868","7551","7225","6879","6524","6166","5809","5465","5136","4989","4540","4285","4059","3860","3679","3519","3371","3233","3109","2990","2878","2768","2663","2561","2459","2360","2260","2164","2073","1984","1897","",
"Netherlands","NLD","Number of infant deaths","SH.DTH.IMRT","3989","3924","3860","3791","3714","3623","3514","3388","3241","3078","2903","2721","2537","2357","2187","2029","1887","1763","1660","1578","1517","1477","1453","1438","1426","1413","1396","1376","1353","1328","1298","1263","1224","1182","1141","1104","1074","1051","1035","1022","1010","993","971","941","906","865","823","781","743","709","680","656","637","621","609","600","594","592","593","595","",
"Norway","NOR","Number of infant deaths","SH.DTH.IMRT","1160","1134","1112","1091","1068","1042","1011","978","943","907","867","823","773","720","665","610","555","506","464","432","411","402","402","409","420","432","442","447","442","428","405","377","348","321","297","279","265","254","245","237","228","220","211","204","196","190","184","179","173","166","159","152","146","140","135","130","126","123","120","118","",
"Nepal","NPL","Number of infant deaths","SH.DTH.IMRT","94161","93759","93211","92471","91659","90810","90073","89269","88610","88042","87648","87315","87138","87037","86949","86869","86690","86410","85951","85411","84647","83741","82709","81542","80272","78835","77300","75570","73677","71611","69435","67193","64999","62787","60581","58322","55959","53402","50710","47882","44961","42049","39213","36516","33988","31634","29474","27497","25707","24085","22600","21243","20002","18868","17848","16962","16165","15473","14880","14362","",
"Nauru","NRU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","14","14","13","13","13","13","13","13","12","12","12","11","11","10","10","10","10","10","10","10","10","10","10","10","10","10","9","9","9","8","8","8","",
"New Zealand","NZL","Number of infant deaths","SH.DTH.IMRT","1368","1328","1281","1234","1191","1155","1128","1108","1090","1073","1054","1030","999","962","918","870","818","767","721","682","651","629","614","603","595","588","582","572","559","542","522","499","476","455","434","414","396","378","363","350","339","332","327","325","324","325","327","328","328","326","321","315","306","296","286","274","263","253","244","235","",
"OECD members","OED","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299915","286588","273373","260376","247657","235410","223728","212692","202538","193113","184356","176380","169027","162225","155921","150053","144483","139205","134068","129090","124277","119744","115375","111349","107582","104060","100782","97701","94663","91687","",
"Oman","OMN","Number of infant deaths","SH.DTH.IMRT","","","","6050","5907","5782","5654","5520","5385","5244","5122","5027","4949","4893","4844","4810","4767","4708","4620","4503","4362","4192","4001","3788","3569","3341","3106","2874","2644","2421","2207","2001","1802","1619","1455","1310","1183","1066","963","873","794","729","677","640","616","604","603","612","628","649","674","701","730","759","789","820","849","873","889","892","",
"Other small states","OSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35719","35512","35345","35194","35043","34845","34470","34164","33811","33423","33028","32619","32201","31814","31359","30674","29971","29558","29429","28874","28370","28115","27906","27617","27368","26946","26627","26256","25620","25139","",
"Pakistan","PAK","Number of infant deaths","SH.DTH.IMRT","352756","350031","347179","344754","342742","341244","340555","340561","341123","342404","344162","346310","349104","352570","356896","362105","368086","374839","381992","389522","397263","405233","413394","421507","429369","436599","443253","449132","454055","457835","460164","460846","459910","457417","453405","447997","441272","433579","425171","416751","408999","402051","396030","390931","386774","383511","380879","378722","376641","374355","371963","369166","366196","362942","359295","355285","350590","345102","338766","331594","",
"Panama","PAN","Number of infant deaths","SH.DTH.IMRT","3022","3023","3015","3006","2996","2983","2968","2949","2923","2884","2830","2761","2674","2581","2491","2407","2335","2273","2219","2170","2117","2065","2012","1958","1905","1854","1807","1762","1719","1680","1648","1622","1601","1589","1582","1580","1580","1579","1573","1561","1544","1521","1494","1468","1443","1418","1396","1371","1346","1322","1299","1271","1241","1212","1179","1144","1112","1079","1041","1012","",
"Peru","PER","Number of infant deaths","SH.DTH.IMRT","62837","62767","62540","62160","61617","61007","60369","59715","59117","58564","57993","57397","56704","55938","55139","54374","53710","53138","52658","52185","51712","51143","50388","49391","48159","46675","45018","43276","41540","39829","38056","36182","34189","32083","29912","27719","25553","23476","21530","19712","18116","16718","15516","14482","13586","12784","12034","11320","10624","9945","9298","8695","8156","7686","7276","6919","6608","6343","6097","5876","",
"Philippines","PHL","Number of infant deaths","SH.DTH.IMRT","75894","75363","75135","75064","75077","75131","75216","75280","75484","75820","76406","77316","78493","79931","81637","83410","85173","86761","88124","89279","90135","90857","91439","91832","91932","91539","90420","88642","86310","83519","80569","77692","75135","72909","71033","69406","68152","67171","66440","65962","65617","65252","64777","64055","63176","62159","61137","60201","59442","58777","58200","57589","56830","55858","54691","53448","51904","50320","48672","47123","",
"Palau","PLW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9","9","10","10","11","11","11","11","10","10","9","9","9","8","8","7","7","7","7","6","6","6","5","5","5","5","5","5","4","4","4","4","4","",
"Papua New Guinea","PNG","Number of infant deaths","SH.DTH.IMRT","12359","12181","12020","11866","11718","11587","11461","11351","11243","11136","11053","10974","10905","10846","10788","10732","10683","10632","10577","10519","10454","10382","10301","10215","10131","10051","9978","9916","9866","9838","9823","9831","9869","9930","10013","10113","10205","10282","10346","10382","10400","10384","10353","10305","10248","10181","10098","10001","9890","9772","9640","9513","9371","9234","9093","8960","8803","8657","8517","8349","",
"Poland","POL","Number of infant deaths","SH.DTH.IMRT","40175","35306","31305","27833","24798","22298","20382","19025","18172","17683","17271","16714","16067","15521","15173","14976","14875","14816","14725","14549","14319","14046","13690","13188","12540","11812","11086","10395","9767","9204","8687","8189","7693","7186","6644","6009","5268","4530","3911","3441","3096","2853","2689","2578","2504","2454","2414","2362","2278","2159","2030","1913","1814","1726","1647","1579","1521","1473","1429","1388","",
"Pre-demographic dividend","PRE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011150","2039196","2067890","2095906","2122696","2146364","2165669","2179358","2186428","2186241","2178463","2164477","2145496","2123704","2099856","2075263","2052309","2028427","2006266","1986538","1969641","1950055","1932038","1916205","1901071","1885852","1869047","1850699","1831034","1812699","",
"Puerto Rico","PRI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","10912","11159","11708","12585","13879","15549","17535","19590","21546","23023","23746","23518","22471","20651","18344","15863","13624","11863","10609","9844","9481","9183","8854","8464","7949","7375","6798","6306","5888","5574","5290","5070","4842","4641","",
"Portugal","PRT","Number of infant deaths","SH.DTH.IMRT","17636","17148","16383","15427","14393","13446","12696","12104","11572","11010","10314","9431","8486","7636","6921","6273","5640","5040","4510","4060","3666","3306","2978","2684","2424","2190","1978","1786","1612","1457","1316","1189","1075","976","893","826","776","737","701","664","623","576","526","478","434","397","369","347","328","312","297","284","273","264","257","251","248","246","244","243","",
"Paraguay","PRY","Number of infant deaths","SH.DTH.IMRT","4766","4823","4891","4959","5032","5104","5164","5210","5241","5257","5257","5254","5258","5272","5302","5350","5412","5486","5558","5621","5669","5696","5698","5678","5640","5579","5501","5410","5307","5192","5070","4946","4826","4713","4605","4508","4411","4313","4208","4099","3985","3868","3758","3655","3566","3486","3405","3325","3243","3161","3073","2985","2899","2817","2746","2671","2595","2525","2452","2375","",
"West Bank and Gaza","PSE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","4551","4409","4275","4135","4000","3877","3764","3664","3581","3509","3456","3419","3396","3386","3382","3381","3378","3371","3351","3319","3272","3209","3139","3065","2993","2925","2862","2809","2761","2722","2692","2669","2655","2649","2646","2646","2644","2635","2616","2582","2532","2477","2423","2373","",
"Pacific island small states","PSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1674","1635","1596","1562","1533","1504","1478","1462","1435","1413","1396","1379","1368","1363","1364","1367","1371","1377","1381","1385","1381","1377","1375","1370","1364","1356","1345","1330","1316","1296","",
"Post-demographic dividend","PST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111919","107010","102023","96941","91900","87167","82832","78980","75594","72639","70129","68090","66463","65150","64056","63063","62080","61009","59757","58313","56727","55084","53412","51869","50477","49261","48210","47293","46404","45489","",
"French Polynesia","PYF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","195","195","196","198","201","205","211","218","226","234","242","248","252","252","250","244","235","224","212","199","186","174","163","153","145","138","133","130","127","125","124","124","124","125","127","129","132","136","142","148","154","160","164","168","169","167","164","159","153","148","",
"Romania","ROU","Number of infant deaths","SH.DTH.IMRT","25938","22896","19697","17169","15752","15858","17979","21293","23296","22270","19940","18058","16881","16096","15476","14849","14070","13236","12531","11991","11389","10588","9771","9198","8989","9118","9525","9897","9758","8967","7989","7201","6611","6116","5675","5327","5083","4870","4584","4216","3900","3730","3673","3638","3559","3407","3166","2887","2641","2450","2290","2139","1985","1820","1651","1500","1380","1280","1177","1069","",
"Russian Federation","RUS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","57310","55973","54779","53772","52944","52292","51838","51621","51577","51630","51743","51842","51855","51598","50807","49219","46890","44046","40955","37920","35185","32730","30453","28367","26557","25101","23976","23088","22363","21700","21003","20251","19430","18584","17743","16957","16301","15841","15601","15529","15543","15474","15107","14358","13348","12209","11052","9963","8983","",
"Rwanda","RWA","Number of infant deaths","SH.DTH.IMRT","19154","19043","18994","19047","19218","19531","19999","20629","21438","22400","23508","24817","26326","28069","29998","32013","33921","35357","35909","35534","34556","33332","32207","31437","31002","30676","30374","30007","29555","29143","28997","29183","29667","30655","34354","33649","32101","32997","33619","32046","30946","29668","28016","26128","24001","22063","20315","18739","17338","16163","15031","13781","12964","12258","11732","11346","11058","10821","10559","10275","",
"South Asia","SAS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3369555","3299174","3229598","3160550","3089877","3016738","2940765","2861750","2779357","2695659","2611233","2526216","2442280","2360315","2280741","2199734","2118223","2033977","1946870","1857858","1768337","1681033","1597597","1519449","1447048","1380565","1318896","1261364","1207447","1157349","",
"Saudi Arabia","SAU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","31151","30642","30107","29729","29421","29209","29003","28809","28557","28177","27689","27047","26208","25226","24093","22887","21631","20356","19090","17833","16630","15464","14357","13326","12411","11598","10880","10268","9728","9254","8835","8452","8076","7700","7336","6968","6598","6221","5849","5475","5117","4765","4419","4096","3823","3582","3379","",
"Sudan","SDN","Number of infant deaths","SH.DTH.IMRT","36299","36900","37551","38275","39038","39862","40733","41700","42716","43819","44979","46214","47501","48804","50117","51426","52698","53948","55169","56384","57603","58765","59858","60855","61789","62676","63550","64479","65429","66452","67523","68596","69596","70494","71198","71693","71942","71929","71730","71280","70601","69829","68892","67898","66867","65880","64888","63934","63036","62205","61390","60648","59948","59229","58549","57915","57281","56582","55862","55178","",
"Senegal","SEN","Number of infant deaths","SH.DTH.IMRT","20051","20573","21154","21784","22435","23080","23692","24296","24876","25392","25830","26158","26378","26474","26434","26271","26014","25730","25450","25238","25115","25047","24975","24836","24568","24137","23615","23099","22687","22441","22403","22586","22948","23450","24016","24590","25111","25513","25752","25761","25506","25036","24413","23718","23017","22385","21827","21363","20989","20667","20387","20119","19864","19613","19351","19062","18745","18467","18181","17911","",
"Singapore","SGP","Number of infant deaths","SH.DTH.IMRT","2183","2002","1836","1701","1597","1502","1402","1301","1209","1130","1063","999","926","828","713","614","548","511","493","487","482","468","447","429","415","405","397","388","375","355","332","306","280","258","240","225","212","199","185","170","154","140","128","119","112","108","106","106","107","108","109","110","111","111","111","111","110","109","106","103","",
"Solomon Islands","SLB","Number of infant deaths","SH.DTH.IMRT","","582","573","564","556","550","544","540","536","534","530","526","521","513","503","490","476","460","445","430","418","409","401","396","392","390","389","388","388","387","386","384","380","376","373","369","367","366","366","366","368","370","373","377","380","383","385","387","388","388","388","387","386","385","383","380","376","370","363","357","",
"Sierra Leone","SLE","Number of infant deaths","SH.DTH.IMRT","23002","23150","23258","23377","23488","23570","23650","23706","23770","23844","23930","24035","24160","24294","24439","24596","24785","25004","25248","25527","25859","26218","26619","27034","27450","27873","28245","28609","28929","29169","29364","29455","29444","29329","29143","28886","28620","28382","28207","28107","28099","28160","28261","28363","28425","28384","28207","27889","27395","26772","26064","25291","24541","23833","23383","23304","22025","21500","20974","20472","",
"El Salvador","SLV","Number of infant deaths","SH.DTH.IMRT","15873","15950","16009","16042","16075","16082","16072","16056","16031","15993","15949","15887","15812","15686","15502","15260","14943","14540","14078","13550","12963","12325","11656","10998","10359","9757","9216","8734","8299","7906","7533","7180","6835","6493","6144","5787","5421","5053","4689","4342","4007","3699","3414","3156","2928","2723","2547","2391","2247","2119","1999","1891","1794","1709","1629","1560","1499","1442","1385","1334","",
"San Marino","SMR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","3","3","3","3","3","3","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","",
"Somalia","SOM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","32442","33143","33892","34529","35040","35480","35822","36016","36181","36569","37233","38053","38941","39856","40794","41748","42716","43698","44701","45727","46776","47843","48898","49806","50227","50292","50086","49637","49130","48623","48191","47710","47292","46997","46792","46561","46547","",
"Serbia","SRB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","5202","4935","4717","4414","3944","3444","3083","2886","2722","2491","2205","1921","1674","1491","1379","1307","1228","1127","1014","908","820","755","713","682","652","620","588","556","525","496","468","444","422","402","383","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2323594","2350533","2378137","2405296","2433283","2453574","2467820","2477896","2480467","2473085","2457700","2435468","2407599","2377176","2345691","2312749","2282228","2249904","2218440","2188059","2161216","2134383","2110035","2089076","2069628","2049763","2028553","2006377","1982391","1960616","",
"South Sudan","SSD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","36554","37063","37559","37981","38304","38434","38369","38024","37400","36618","35675","34615","33551","32477","31501","30688","29950","29263","28652","28035","27465","26991","26588","26188","25829","25478","25124","24788","24369","23925","23476","23217","23203","23358","23545","23678","23772","23846","23920","",
"Sub-Saharan Africa","SSF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2324059","2350975","2378571","2405732","2433726","2454025","2468274","2478341","2480890","2473473","2458052","2435790","2407899","2377459","2345962","2313011","2282480","2250145","2218669","2188277","2161426","2134590","2110241","2089280","2069826","2049955","2028743","2006569","1982588","1960819","",
"Small states","SST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41673","41267","40912","40586","40270","39915","39390","38950","38451","37931","37413","36888","36366","35890","35361","34614","33850","33384","33201","32587","32021","31700","31428","31070","30752","30258","29866","29415","28704","28138","",
"Sao Tome and Principe","STP","Number of infant deaths","SH.DTH.IMRT","","","","","","","180","175","172","170","171","174","178","183","189","196","202","208","214","221","228","235","243","252","262","273","283","293","303","312","321","328","334","338","340","339","335","330","324","316","308","299","290","279","269","260","250","240","231","222","213","204","196","188","181","175","169","165","160","156","",
"Suriname","SUR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","502","490","478","466","455","444","433","422","410","397","383","369","355","342","329","317","306","295","285","276","267","258","250","242","235","228","222","216","211","205","200","194","188","182","177","171","",
"Slovak Republic","SVK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1708","1606","1508","1414","1327","1245","1167","1093","1021","951","881","812","745","681","621","567","519","478","445","419","399","384","373","364","356","349","341","334","326","318","310","303","297","291","285","278","272","264","",
"Slovenia","SVN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","422","392","363","334","305","277","250","224","201","179","160","144","130","118","108","99","92","85","80","75","71","68","66","64","62","61","59","57","55","53","50","48","45","43","40","38","35","33","",
"Sweden","SWE","Number of infant deaths","SH.DTH.IMRT","1765","1753","1731","1692","1636","1574","1515","1461","1410","1357","1300","1232","1155","1072","987","909","842","786","739","699","668","646","634","629","632","640","652","665","678","685","679","651","604","546","487","432","388","355","332","318","311","309","309","308","305","301","295","290","286","283","280","278","277","276","274","272","268","262","255","248","",
"Eswatini","SWZ","Number of infant deaths","SH.DTH.IMRT","2166","2181","2198","2218","2238","2259","2281","2308","2339","2370","2400","2422","2436","2436","2426","2407","2383","2357","2335","2311","2282","2240","2184","2112","2031","1942","1855","1774","1704","1652","1622","1624","1658","1718","1787","1855","1916","1974","2030","2087","2141","2179","2208","2233","2233","2229","2003","2011","2034","1893","1781","1720","1659","1608","1596","1393","1330","1345","1215","1143","",
"Sint Maarten (Dutch part)","SXM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Number of infant deaths","SH.DTH.IMRT","117","118","119","120","120","119","118","115","112","107","102","97","92","86","80","74","68","62","56","51","46","42","39","36","33","31","29","27","26","25","23","22","22","21","20","19","19","18","18","18","18","18","19","19","19","20","20","20","20","20","20","20","20","21","21","21","21","21","20","20","",
"Syrian Arab Republic","SYR","Number of infant deaths","SH.DTH.IMRT","24932","24429","23999","23624","23304","22988","22671","22340","21992","21651","21309","20992","20716","20466","20218","19954","19663","19323","18944","18524","18049","17563","17078","16601","16110","15635","15151","14671","14202","13730","13285","12850","12436","12042","11684","11354","11048","10762","10473","10191","9943","9737","9585","9517","9503","9529","9564","9570","9522","9423","9265","9085","9071","8914","8706","8368","8152","7944","7725","7575","",
"Turks and Caicos Islands","TCA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","23241","23807","24387","24942","25455","25962","26446","26908","27371","27841","28326","28841","29396","29989","30644","31336","32070","32831","33624","34454","35325","36216","37140","38075","38998","39886","40723","41529","42307","43049","43756","44372","44920","45347","45662","45885","46004","46057","46068","46065","46042","46011","45941","45818","45573","45350","45065","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1712256","1628969","1533470","1435710","1343634","1261985","1192001","1130271","1073684","1019804","966138","913659","861567","812067","771837","723172","684462","649113","621836","588111","560117","533421","507748","482902","458783","435517","412942","391143","370464","351307","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270680","259827","249937","239739","228599","216783","204550","192163","180035","168388","157582","147866","139249","131692","125054","119199","113968","109346","105118","101256","97582","94095","90525","86743","82612","78281","73896","69619","65551","61763","",
"Togo","TGO","Number of infant deaths","SH.DTH.IMRT","11466","11472","11506","11571","11665","11790","11954","12134","12328","12519","12702","12884","13032","13147","13228","13286","13322","13344","13365","13387","13429","13476","13527","13580","13626","13665","13685","13687","13674","13657","13633","13624","13630","13657","13697","13765","13847","13944","14038","14132","14201","14249","14282","14290","14265","14210","14130","14025","13890","13742","13579","13406","13227","13041","12859","12677","12483","12303","12122","11947","",
"Thailand","THA","Number of infant deaths","SH.DTH.IMRT","115366","114881","114289","113545","112662","111446","109851","107699","104973","101718","97983","93897","89591","85215","80946","76811","72856","69059","65401","61912","58520","55309","52228","49302","46521","43871","41396","39027","36813","34716","32717","30821","29007","27263","25621","24028","22507","21055","19675","18379","17179","16054","15043","14113","13262","12491","11762","11081","10449","9848","9280","8738","8243","7779","7342","6929","6543","6171","5821","5493","",
"Tajikistan","TJK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","14502","14333","14214","14171","14239","14446","14810","15313","15909","16532","17072","17437","17593","17507","17244","16970","16788","16826","17206","17737","18059","17922","17402","16649","15753","14763","13756","12782","11872","11063","10368","9810","9356","9029","8818","8694","8652","8651","8689","8744","8799","8825","8816","8759","8632","8456","8229","",
